Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,IsAlone,FarePerPerson,AgeGroup,FareGroup
1,1,0,52.0,1,1,93.5,2,12,3,0,31.166666666666668,2,3
0,2,1,31.0,0,0,10.5,2,11,1,1,10.5,0,2
1,3,1,27.0,0,0,8.6625,2,11,1,1,8.6625,3,1
0,3,1,28.0,1,0,15.85,2,11,2,0,7.925,3,2
0,2,1,25.0,0,0,13.0,2,11,1,1,13.0,3,2
0,3,1,24.0,0,0,7.4958,2,11,1,1,7.4958,3,1
0,3,0,40.0,1,0,9.475,2,12,2,0,4.7375,0,1
0,3,1,32.368090452261306,0,0,7.8958,2,11,1,1,7.8958,0,1
0,3,1,26.0,1,2,20.575,2,11,4,0,5.14375,3,0
1,3,1,29.0,0,0,9.5,2,11,1,1,9.5,3,1
0,3,1,32.368090452261306,0,0,7.75,1,11,1,1,7.75,0,1
1,1,1,60.0,1,1,79.2,0,11,3,0,26.400000000000002,2,3
0,2,1,19.0,0,0,13.0,2,11,1,1,13.0,3,2
0,2,0,26.0,1,1,26.0,2,12,3,0,8.666666666666666,3,0
0,3,1,23.0,0,0,7.8958,2,11,1,1,7.8958,3,1
1,2,0,28.0,1,0,24.0,0,12,2,0,12.0,3,0
0,2,1,32.0,2,0,73.5,2,11,3,0,24.5,0,3
0,2,1,32.0,0,0,10.5,2,11,1,1,10.5,0,2
1,2,0,21.0,0,0,10.5,2,8,1,1,10.5,3,2
1,3,1,20.0,1,1,15.7417,0,11,3,0,5.247233333333333,3,2
1,3,0,24.0,0,3,19.2583,0,12,4,0,4.814575,3,2
1,3,0,22.0,0,0,7.25,2,8,1,1,7.25,3,1
0,1,1,18.0,1,0,108.9,0,11,2,0,54.45,1,4
0,3,1,1.0,4,1,39.6875,2,7,6,0,6.614583333333333,1,3
0,3,1,28.5,0,0,7.2292,0,11,1,1,7.2292,3,1
0,3,1,20.0,0,0,7.8542,2,11,1,1,7.8542,3,1
0,3,0,48.0,1,3,34.375,2,12,5,0,6.875,0,3
0,1,1,54.0,0,0,51.8625,2,11,1,1,51.8625,2,3
1,1,0,36.0,1,2,120.0,2,12,4,0,30.0,0,4
0,3,1,38.0,0,0,7.05,2,11,1,1,7.05,0,1
1,1,0,18.0,2,2,262.375,0,8,5,0,52.475,1,4
0,3,0,21.773972602739725,3,1,25.4667,2,8,5,0,5.0933399999999995,3,0
0,3,1,51.0,0,0,7.75,2,11,1,1,7.75,2,1
0,1,1,32.368090452261306,0,0,52.0,2,11,1,1,52.0,0,3
1,2,0,42.0,0,0,13.0,2,12,1,1,13.0,0,2
0,2,1,51.0,0,0,12.525,2,14,1,1,12.525,2,2
0,3,1,31.0,0,0,7.775,2,11,1,1,7.775,0,1
0,3,1,40.0,0,0,7.8958,2,11,1,1,7.8958,0,1
0,3,1,48.0,0,0,7.8542,2,11,1,1,7.8542,0,1
0,2,1,35.0,0,0,26.0,2,11,1,1,26.0,0,0
1,1,1,80.0,0,0,30.0,2,11,1,1,30.0,2,0
1,1,0,35.0,0,0,512.3292,0,8,1,1,512.3292,0,4
1,3,0,21.773972602739725,1,0,15.5,1,8,2,0,7.75,3,2
0,1,1,39.0,0,0,0.0,2,11,1,1,0.0,0,4
0,3,1,22.0,0,0,7.25,2,11,1,1,7.25,3,1
1,1,0,19.0,0,2,26.2833,2,8,3,0,8.7611,3,0
0,3,0,28.0,1,1,14.4,2,12,3,0,4.8,3,2
0,1,1,55.0,0,0,30.5,2,11,1,1,30.5,2,3
1,2,0,32.0,0,0,13.0,2,12,1,1,13.0,0,2
0,3,1,32.368090452261306,0,0,8.05,2,11,1,1,8.05,0,1
0,3,1,20.5,0,0,7.25,2,11,1,1,7.25,3,1
0,2,1,25.0,1,0,26.0,2,11,2,0,13.0,3,0
0,3,1,32.368090452261306,0,0,7.8958,0,11,1,1,7.8958,0,1
0,3,1,32.368090452261306,0,0,7.7292,1,11,1,1,7.7292,0,1
0,3,1,74.0,0,0,7.775,2,11,1,1,7.775,2,1
0,3,1,40.0,1,4,27.9,2,11,6,0,4.6499999999999995,0,0
0,3,1,19.0,0,0,7.8958,2,11,1,1,7.8958,3,1
1,1,1,48.0,1,0,52.0,2,11,2,0,26.0,0,3
0,3,0,21.0,2,2,34.375,2,8,5,0,6.875,3,3
0,3,0,32.0,1,1,15.5,1,12,3,0,5.166666666666667,0,2
1,1,0,30.0,0,0,93.5,2,8,1,1,93.5,3,3
1,3,0,21.0,0,0,7.65,2,8,1,1,7.65,3,1
0,3,1,32.368090452261306,0,0,7.8958,2,11,1,1,7.8958,0,1
0,1,1,32.368090452261306,0,0,25.925,2,11,1,1,25.925,0,0
0,1,1,28.0,0,0,47.1,2,11,1,1,47.1,3,3
0,1,1,70.0,1,1,71.0,2,0,3,0,23.666666666666668,2,3
0,1,1,32.368090452261306,0,0,27.7208,0,11,1,1,27.7208,0,0
1,2,0,6.0,0,1,33.0,2,8,2,0,16.5,1,3
0,2,1,23.0,2,1,11.5,2,11,4,0,2.875,3,2
1,1,0,47.0,1,1,52.5542,2,12,3,0,17.518066666666666,0,3
1,2,0,19.0,1,0,26.0,2,12,2,0,13.0,3,0
0,2,1,19.0,1,1,36.75,2,11,3,0,12.25,3,3
1,1,0,39.0,1,1,79.65,2,12,3,0,26.55,0,3
0,3,1,32.368090452261306,0,0,7.8958,2,11,1,1,7.8958,0,1
1,1,1,17.0,0,2,110.8833,0,11,3,0,36.9611,1,4
0,3,0,30.0,0,0,8.6625,2,8,1,1,8.6625,3,1
0,3,1,61.0,0,0,6.2375,2,11,1,1,6.2375,2,1
0,3,1,25.0,0,0,7.8958,2,11,1,1,7.8958,3,1
0,3,1,28.0,0,0,22.525,2,11,1,1,22.525,3,0
1,2,0,33.0,0,2,26.0,2,12,3,0,8.666666666666666,0,0
1,3,0,21.773972602739725,2,0,23.25,1,8,3,0,7.75,3,0
1,2,0,36.0,0,0,13.0,2,8,1,1,13.0,0,2
0,2,1,42.0,0,0,13.0,2,14,1,1,13.0,0,2
0,1,1,56.0,0,0,30.6958,0,11,1,1,30.6958,2,3
0,3,1,19.0,0,0,8.1583,2,11,1,1,8.1583,3,1
0,3,1,4.0,4,1,29.125,1,7,6,0,4.854166666666667,1,0
0,1,1,51.0,0,1,61.3792,0,11,2,0,30.6896,2,3
0,2,1,57.0,0,0,12.35,1,14,1,1,12.35,2,2
1,3,1,3.0,1,1,15.9,2,7,3,0,5.3,1,2
1,3,0,21.773972602739725,0,0,7.75,1,8,1,1,7.75,3,1
1,3,0,21.773972602739725,0,0,7.8792,1,8,1,1,7.8792,3,1
0,3,0,21.773972602739725,1,0,14.4542,0,8,2,0,7.2271,3,2
0,2,0,44.0,1,0,26.0,2,12,2,0,13.0,0,0
0,3,1,32.368090452261306,0,0,7.75,1,11,1,1,7.75,0,1
0,3,1,22.0,0,0,8.05,2,11,1,1,8.05,3,1
0,1,1,24.0,0,1,247.5208,0,11,2,0,123.7604,3,4
1,2,1,0.83,0,2,29.0,2,7,3,0,9.666666666666666,1,0
1,2,0,27.0,0,0,10.5,2,8,1,1,10.5,3,2
0,3,0,21.773972602739725,8,2,69.55,2,8,11,0,6.322727272727272,3,3
1,1,1,36.0,0,1,512.3292,0,11,2,0,256.1646,0,4
0,1,1,32.368090452261306,0,0,221.7792,2,11,1,1,221.7792,0,4
0,3,1,32.368090452261306,8,2,69.55,2,11,11,0,6.322727272727272,0,3
0,3,1,49.0,0,0,0.0,2,11,1,1,0.0,0,4
1,1,1,45.0,0,0,26.55,2,11,1,1,26.55,0,0
1,3,1,32.0,0,0,7.8542,2,11,1,1,7.8542,0,1
0,3,1,21.0,0,0,8.4333,2,11,1,1,8.4333,3,1
0,3,1,11.0,5,2,46.9,2,7,8,0,5.8625,1,3
0,3,1,20.0,0,0,9.5,2,11,1,1,9.5,3,1
1,1,0,29.0,0,0,211.3375,2,8,1,1,211.3375,3,4
1,3,0,21.773972602739725,0,0,7.8292,1,8,1,1,7.8292,3,1
0,3,1,32.368090452261306,1,0,15.5,1,11,2,0,7.75,0,2
0,3,1,32.368090452261306,0,0,8.6625,2,11,1,1,8.6625,0,1
1,3,1,16.0,0,0,8.05,2,11,1,1,8.05,1,1
1,3,0,21.773972602739725,0,0,7.75,1,8,1,1,7.75,3,1
1,3,1,29.0,0,0,7.8958,0,11,1,1,7.8958,3,1
0,3,1,32.0,0,0,7.75,1,11,1,1,7.75,0,1
0,3,0,29.0,0,4,21.075,2,12,5,0,4.215,3,0
1,3,0,23.0,0,0,7.55,2,8,1,1,7.55,3,1
0,1,1,31.0,0,0,50.4958,2,11,1,1,50.4958,0,3
1,1,0,22.0,1,0,66.6,2,12,2,0,33.3,3,3
0,1,1,24.0,0,0,79.2,0,11,1,1,79.2,3,3
0,3,1,32.368090452261306,0,0,7.725,1,11,1,1,7.725,0,1
0,2,1,39.0,0,0,13.0,2,11,1,1,13.0,0,2
0,2,1,28.0,0,0,13.5,2,11,1,1,13.5,3,2
0,3,1,21.0,0,0,7.925,2,11,1,1,7.925,3,1
0,1,1,58.0,0,2,113.275,0,11,3,0,37.75833333333333,2,4
1,2,0,22.0,1,2,41.5792,0,12,4,0,10.3948,3,3
0,3,1,32.368090452261306,0,0,8.7125,0,11,1,1,8.7125,0,1
0,3,1,32.368090452261306,0,0,9.5,2,11,1,1,9.5,0,1
1,2,0,40.0,0,0,13.0,2,8,1,1,13.0,0,2
1,2,1,34.0,0,0,13.0,2,11,1,1,13.0,0,2
1,1,0,58.0,0,0,146.5208,0,8,1,1,146.5208,2,4
0,1,1,30.0,0,0,27.75,0,11,1,1,27.75,3,0
0,3,1,19.0,0,0,6.75,1,11,1,1,6.75,3,1
